gene_name	expression
A1BG	1
A1BG-AS1	10
A1CF	0
A2M	31
A2M-AS1	8
A2ML1	0
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	1
A3GALT2	4
A4GALT	3
A4GNT	0
AAAS	221
AACS	54
AACSP1	1
AADAC	1
AADACL2	1
AADACL2-AS1	0
AADACL3	1
AADACL4	0
AADACP1	0
AADAT	0
AAGAB	359
AAK1	1908
AAMDC	29
AAMP	625
AANAT	2
AAR2	279
AARD	1
AARS	175
AARS2	244
AARSD1	16
AARSP1	0
AASDH	104
AASDHPPT	242
AASS	26
AATBC	26
AATF	652
AATK	5
ABALON	2
ABAT	65
ABBA01000935.2	3
ABBA01006766.1	0
ABBA01031666.1	0
ABBA01045074.1	0
ABBA01045074.2	0
ABCA1	286
ABCA10	13
ABCA11P	6
ABCA12	2
ABCA13	203
ABCA17P	0
ABCA2	257
ABCA3	13
ABCA4	2
ABCA5	77
ABCA6	24
ABCA7	142
ABCA8	6
ABCA9	3259
ABCA9-AS1	1
ABCB1	8
ABCB10	443
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	7
ABCB4	5
ABCB5	2
ABCB6	8
ABCB7	460
ABCB8	161
ABCB9	51
ABCC1	367
ABCC10	157
ABCC11	0
ABCC12	0
ABCC13	9
ABCC2	62
ABCC3	3
ABCC4	257
ABCC5	249
ABCC5-AS1	0
ABCC6	0
ABCC6P1	0
ABCC6P2	0
ABCC8	5
ABCC9	4
ABCD1	150
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	41
ABCD3	201
ABCD4	299
ABCE1	1387
ABCF1	1060
ABCF2	477
ABCF2P1	0
ABCF2P2	0
ABCF3	262
ABCG1	214
ABCG2	26
ABCG4	1
ABCG5	0
ABCG8	1
ABHD1	3
ABHD10	147
ABHD11	9
ABHD11-AS1	0
ABHD12	233
ABHD12B	4
ABHD13	301
ABHD14A	13
ABHD14A-ACY1	0
ABHD14B	349
ABHD15	286
ABHD15-AS1	18
ABHD16A	57
ABHD16B	0
ABHD17A	503
ABHD17AP1	1
ABHD17AP3	0
ABHD17AP4	0
ABHD17AP5	1
ABHD17AP6	0
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	1011
ABHD17C	99
ABHD18	229
ABHD2	573
ABHD3	352
ABHD4	273
ABHD5	292
ABHD6	21
ABHD8	52
ABI1	2543
ABI1P1	0
ABI2	140
ABI3	77
ABI3BP	8
ABITRAM	116
ABITRAMP1	0
ABL1	509
ABL2	291
ABLIM1	260
ABLIM2	0
ABLIM3	2
ABO	0
ABR	192
ABRA	0
ABRACL	617
ABRAXAS1	284
ABRAXAS2	118
ABT1	245
ABT1P1	0
ABTB1	338
ABTB2	45
AC000032.1	0
AC000035.1	0
AC000036.1	0
AC000041.1	0
AC000050.1	13
AC000058.1	0
AC000061.1	0
AC000065.1	2
AC000065.2	24
AC000067.1	0
AC000068.1	8
AC000068.2	0
AC000068.3	1
AC000072.1	2
AC000077.1	0
AC000078.1	2
AC000081.1	0
AC000082.1	0
AC000085.1	0
AC000089.1	11
AC000093.1	2
AC000095.1	0
AC000095.2	0
AC000095.3	0
AC000099.1	0
AC000111.1	0
AC000111.2	0
AC000113.1	2
AC000120.1	20
AC000120.2	0
AC000120.3	0
AC000123.1	0
AC000123.2	7
AC000123.3	112
AC000124.1	0
AC000362.1	0
AC000367.1	0
AC000372.1	1
AC000374.1	0
AC000403.1	2
AC001226.1	1
AC001226.2	0
AC002044.1	0
AC002044.2	19
AC002044.3	9
AC002056.1	1
AC002056.2	1
AC002057.1	0
AC002057.2	0
AC002059.1	1
AC002059.2	0
AC002059.3	1
AC002064.1	0
AC002064.2	0
AC002064.3	2
AC002066.1	2
AC002069.1	0
AC002069.2	0
AC002069.3	0
AC002070.1	0
AC002072.1	0
AC002074.1	0
AC002074.2	0
AC002075.1	0
AC002075.2	4
AC002076.1	0
AC002076.2	0
AC002090.1	0
AC002091.1	1
AC002091.2	1
AC002094.1	0
AC002094.2	0
AC002094.3	0
AC002094.4	3
AC002094.5	0
AC002101.1	0
AC002115.1	0
AC002116.1	0
AC002116.2	2
AC002127.1	0
AC002128.1	0
AC002128.2	0
AC002306.1	1
AC002310.1	15
AC002310.2	4
AC002310.3	0
AC002310.4	0
AC002310.5	12
AC002331.1	2
AC002347.1	2
AC002347.2	0
AC002350.1	2
AC002351.1	0
AC002366.1	0
AC002367.1	1
AC002368.1	3
AC002375.1	0
AC002377.1	0
AC002378.1	1
AC002381.1	0
AC002383.1	0
AC002386.1	1
AC002398.1	0
AC002398.2	1
AC002400.1	0
AC002401.1	0
AC002401.2	1
AC002401.3	0
AC002401.4	0
AC002407.1	3
AC002428.1	0
AC002428.2	0
AC002429.1	0
AC002429.2	0
AC002451.1	2
AC002451.2	1
AC002454.1	2
AC002456.1	44
AC002456.2	0
AC002458.1	0
AC002460.1	0
AC002460.2	5
AC002463.1	2
AC002464.1	21
AC002465.1	0
AC002465.2	1
AC002467.1	35
AC002470.1	0
AC002470.2	0
AC002472.1	0
AC002472.2	0
AC002472.3	0
AC002472.4	0
AC002480.1	0
AC002480.2	2
AC002486.1	0
AC002486.2	0
AC002487.1	0
AC002504.1	0
AC002511.1	0
AC002511.2	0
AC002511.3	0
AC002519.1	2
AC002519.2	0
AC002524.1	0
AC002525.1	0
AC002529.1	0
AC002540.1	1
AC002542.1	0
AC002542.2	0
AC002543.1	0
AC002545.1	0
AC002546.1	0
AC002550.1	0
AC002550.2	1
AC002551.1	0
AC002553.1	5
AC002553.2	14
AC002558.1	79
AC002558.2	0
AC002558.3	148
AC002563.1	0
AC002984.1	0
AC002985.1	0
AC002996.1	0
AC003001.1	0
AC003001.2	0
AC003002.1	0
AC003002.2	0
AC003002.3	2
AC003005.1	0
AC003005.2	0
AC003006.1	0
AC003009.1	0
AC003035.1	4
AC003035.2	0
AC003043.1	3
AC003043.2	3
AC003044.1	0
AC003045.1	0
AC003070.1	0
AC003070.2	0
AC003070.7	0
AC003071.1	3
AC003071.2	0
AC003072.1	5
AC003077.1	3
AC003080.1	0
AC003084.1	0
AC003086.1	0
AC003087.1	0
AC003092.1	1
AC003092.2	0
AC003093.1	3
AC003098.1	0
AC003101.1	1
AC003101.2	0
AC003101.3	0
AC003102.1	31
AC003112.1	0
AC003659.1	0
AC003665.1	173
AC003666.1	0
AC003669.1	0
AC003681.1	39
AC003682.1	14
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003950.1	0
AC003956.1	0
AC003957.1	0
AC003958.1	0
AC003958.2	2
AC003965.1	2
AC003965.2	0
AC003973.1	1
AC003973.2	0
AC003975.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003986.1	0
AC003986.2	0
AC003986.3	0
AC003988.1	1
AC003989.1	0
AC003989.2	0
AC003991.1	1
AC003991.2	0
AC003992.1	0
AC004000.1	1
AC004004.1	0
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0
AC004014.1	0
AC004014.2	1
AC004022.1	0
AC004022.2	0
AC004023.1	0
AC004024.1	0
AC004034.1	1
AC004039.1	0
AC004047.1	0
AC004052.1	2
AC004053.1	0
AC004054.1	0
AC004057.1	0
AC004062.1	0
AC004063.1	0
AC004066.1	0
AC004066.2	0
AC004067.1	3
AC004069.1	1
AC004069.2	0
AC004074.1	0
AC004076.1	0
AC004076.2	8
AC004080.1	0
AC004080.2	0
AC004080.3	0
AC004080.4	0
AC004080.5	0
AC004080.6	0
AC004080.7	0
AC004083.1	0
AC004086.1	13372
AC004112.1	0
