[gene_name]	expression
A1BG	71
A1BG-AS1	550
A1CF	4
A2M	18
A2M-AS1	45
A2ML1	6
A2ML1-AS1	1
A2ML1-AS2	0
A2MP1	9
A3GALT2	7
A4GALT	11
A4GNT	1
AAAS	239
AACS	233
AACSP1	3
AADAC	0
AADACL2	2
AADACL2-AS1	1
AADACL3	3
AADACL4	0
AADACP1	0
AADAT	3
AAGAB	559
AAK1	5892
AAMDC	47
AAMP	791
AANAT	4
AAR2	194
AARD	0
AARS	513
AARS2	462
AARSD1	12
AARSP1	0
AASDH	196
AASDHPPT	300
AASS	1413
AATBC	56
AATF	1009
AATK	28
ABALON	8
ABAT	251
ABBA01000935.2	2
ABBA01006766.1	0
ABBA01031666.1	0
ABBA01045074.1	0
ABBA01045074.2	0
ABCA1	4010
ABCA10	10
ABCA11P	8
ABCA12	4
ABCA13	104
ABCA17P	8
ABCA2	1370
ABCA3	6
ABCA4	23
ABCA5	143
ABCA6	9
ABCA7	2517
ABCA8	15
ABCA9	13
ABCA9-AS1	1
ABCB1	118
ABCB10	481
ABCB10P1	3
ABCB10P3	0
ABCB10P4	0
ABCB11	7
ABCB4	681
ABCB5	9
ABCB6	24
ABCB7	1101
ABCB8	273
ABCB9	300
ABCC1	1976
ABCC10	646
ABCC11	4
ABCC12	5
ABCC13	7
ABCC2	90
ABCC3	26
ABCC4	158
ABCC5	829
ABCC5-AS1	1
ABCC6	1
ABCC6P1	0
ABCC6P2	0
ABCC8	3
ABCC9	9
ABCD1	356
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	80
ABCD3	396
ABCD4	1093
ABCE1	1049
ABCF1	2156
ABCF2	204
ABCF2P1	2
ABCF2P2	0
ABCF3	816
ABCG1	680
ABCG2	32
ABCG4	1
ABCG5	2
ABCG8	1
ABHD1	3
ABHD10	238
ABHD11	42
ABHD11-AS1	1
ABHD12	391
ABHD12B	6
ABHD13	936
ABHD14A	2
ABHD14A-ACY1	0
ABHD14B	248
ABHD15	473
ABHD15-AS1	3
ABHD16A	138
ABHD16B	0
ABHD17A	738
ABHD17AP1	2
ABHD17AP3	1
ABHD17AP4	5
ABHD17AP5	24
ABHD17AP6	3
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	2444
ABHD17C	264
ABHD18	619
ABHD2	1237
ABHD3	623
ABHD4	70
ABHD5	498
ABHD6	28
ABHD8	162
ABI1	3985
ABI1P1	0
ABI2	721
ABI3	84
ABI3BP	7
ABITRAM	108
ABITRAMP1	0
ABL1	1395
ABL2	1432
ABLIM1	2760
ABLIM2	33
ABLIM3	6
ABO	10
ABR	1235
ABRA	0
ABRACL	274
ABRAXAS1	307
ABRAXAS2	298
ABT1	513
ABT1P1	1
ABTB1	912
ABTB2	151
AC000032.1	0
AC000035.1	0
AC000036.1	0
AC000041.1	0
AC000050.1	55
AC000058.1	0
AC000061.1	0
AC000065.1	171
AC000065.2	363
AC000067.1	0
AC000068.1	29
AC000068.2	3
AC000068.3	5
AC000072.1	3
AC000077.1	0
AC000078.1	12
AC000081.1	1
AC000082.1	3
AC000085.1	14
AC000089.1	8
AC000093.1	0
AC000095.1	30
AC000095.2	0
AC000095.3	0
AC000099.1	0
AC000111.1	0
AC000111.2	0
AC000113.1	0
AC000120.1	56
AC000120.2	0
AC000120.3	0
AC000123.1	0
AC000123.2	26
AC000123.3	291
AC000124.1	1
AC000362.1	0
AC000367.1	0
AC000372.1	0
AC000374.1	1
AC000403.1	3
AC001226.1	13
AC001226.2	1
AC002044.1	1
AC002044.2	16
AC002044.3	7
AC002056.1	8
AC002056.2	2
AC002057.1	0
AC002057.2	0
AC002059.1	7
AC002059.2	1
AC002059.3	0
AC002064.1	1
AC002064.2	0
AC002064.3	6
AC002066.1	1
AC002069.1	1
AC002069.2	0
AC002069.3	0
AC002070.1	4
AC002072.1	1
AC002074.1	0
AC002074.2	1
