"entrez_id"	"final_symbol"	"ENSG_id"	"gene_symbol"	"Gencode_symbol"	"Aliase"
"1"	"A1BG"	"ENSG00000121410"	"A1BG"	"A1BG"	"A1B|ABG|GAB|HYST2477|A1BG"
"503538"	"A1BG-AS1"	"ENSG00000268895"	"A1BG-AS1"	"A1BG-AS1"	"A1BG-AS|A1BGAS|NCRNA00181|A1BG-AS1"
"29974"	"A1CF"	"ENSG00000148584"	"A1CF"	"A1CF"	"ACF|ACF64|ACF65|APOBEC1CF|ASP|A1CF"
"2"	"A2M"	"ENSG00000175899"	"A2M"	"A2M"	"A2MD|CPAMD5|FWP007|S863-7|A2M"
"144571"	"A2M-AS1"	"ENSG00000245105"	"A2M-AS1"	"A2M-AS1"	"A2M-AS1"
"144568"	"A2ML1"	"ENSG00000166535"	"A2ML1"	"A2ML1"	"CPAMD9|OMS|p170|A2ML1"
"3"	"A2MP1"	"ENSG00000291190"	"A2MP1"	"A2MP1"	"A2MP|A2MP1"
"127550"	"A3GALT2"	"ENSG00000184389"	"A3GALT2"	"A3GALT2"	"A3GALT2P|IGB3S|IGBS3S|A3GALT2"
"53947"	"A4GALT"	"ENSG00000128274"	"A4GALT"	"A4GALT"	"A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK|A4GALT"
"51146"	"A4GNT"	"ENSG00000118017"	"A4GNT"	"A4GNT"	"alpha4GnT|A4GNT"
"100506677"	"AA06"	"ENSG00000265544"	"AA06"	"AA06"	"AA02|AA04|AA05|AA06"
"8086"	"AAAS"	"ENSG00000094914"	"AAAS"	"AAAS"	"AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003|AAAS"
"65985"	"AACS"	"ENSG00000081760"	"AACS"	"AACS"	"ACSF1|SUR-5|AACS"
"729522"	"AACSP1"	"ENSG00000291019"	"AACSP1"	"AACSP1"	"AACSL|AACSP1"
"13"	"AADAC"	"ENSG00000114771"	"AADAC"	"AADAC"	"CES5A1|DAC|AADAC"
"344752"	"AADACL2"	"ENSG00000197953"	"AADACL2"	"AADACL2"	"AADACL2"
"126767"	"AADACL3"	"ENSG00000188984"	"AADACL3"	"AADACL3"	"AADACL3"
"343066"	"AADACL4"	"ENSG00000204518"	"AADACL4"	"AADACL4"	"AADACL4"
"201651"	"AADACP1"	"ENSG00000291076"	"AADACP1"	"AADACP1"	"AADACP1"
"51166"	"AADAT"	"ENSG00000109576"	"AADAT"	"AADAT"	"KAT2|KATII|KYAT2|AADAT"
"79719"	"AAGAB"	"ENSG00000103591"	"AAGAB"	"AAGAB"	"KPPP1|PPKP1|PPKP1A|p34|AAGAB"
"22848"	"AAK1"	"ENSG00000115977"	"AAK1"	"AAK1"	"AAK1"
"28971"	"AAMDC"	"ENSG00000087884"	"AAMDC"	"AAMDC"	"C11orf67|CK067|PTD015|AAMDC"
"14"	"AAMP"	"ENSG00000127837"	"AAMP"	"AAMP"	"AAMP"
"15"	"AANAT"	"ENSG00000129673"	"AANAT"	"AANAT"	"DSPS|SNAT|AANAT"
"25980"	"AAR2"	"ENSG00000131043"	"AAR2"	"AAR2"	"C20orf4|CGI-23|AAR2"
"441376"	"AARD"	"ENSG00000205002"	"AARD"	"AARD"	"C8orf85|AARD"
"57505"	"AARS2"	"ENSG00000124608"	"AARS2"	"AARS2"	"AARSL|COXPD8|LKENP|MT-ALARS|MTALARS|AARS2"
"80755"	"AARSD1"	"ENSG00000266967"	"AARSD1"	"AARSD1"	"AlaXp|AARSD1"
"132949"	"AASDH"	"ENSG00000157426"	"AASDH"	"AASDH"	"ACSF4|LYS2|NRPS1098|NRPS998|AASDH"
"60496"	"AASDHPPT"	"ENSG00000149313"	"AASDHPPT"	"AASDHPPT"	"AASD-PPT|ACPS|CGI-80|LYS2|LYS5|AASDHPPT"
"10157"	"AASS"	"ENSG00000008311"	"AASS"	"AASS"	"LKR/SDH|LKRSDH|LORSDH|AASS"
"284837"	"AATBC"	"ENSG00000215458"	"AATBC"	"AATBC"	"AATBC"
"26574"	"AATF"	"ENSG00000275700"	"AATF"	"AATF"	"BFR2|CHE-1|CHE1|DED|AATF"
"9625"	"AATK"	"ENSG00000181409"	"AATK"	"AATK"	"AATYK|AATYK1|LMR1|LMTK1|PPP1R77|p35BP|AATK"
"103021294"	"ABALON"	"ENSG00000281376"	"ABALON"	"ABALON"	"INXS|ABALON"
"18"	"ABAT"	"ENSG00000183044"	"ABAT"	"ABAT"	"GABA-AT|GABAT|NPD009|ABAT"
"19"	"ABCA1"	"ENSG00000165029"	"ABCA1"	"ABCA1"	"ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD|ABCA1"
"10349"	"ABCA10"	"ENSG00000154263"	"ABCA10"	"ABCA10"	"EST698739|ABCA10"
"26154"	"ABCA12"	"ENSG00000144452"	"ABCA12"	"ABCA12"	"ARCI4A|ARCI4B|ICR2B|LI2|ABCA12"
"154664"	"ABCA13"	"ENSG00000179869"	"ABCA13"	"ABCA13"	"ABCA13"
"20"	"ABCA2"	"ENSG00000107331"	"ABCA2"	"ABCA2"	"ABC2|IDPOGSA|ABCA2"
"21"	"ABCA3"	"ENSG00000167972"	"ABCA3"	"ABCA3"	"ABC-C|ABC3|EST111653|LBM180|SMDP3|ABCA3"
"24"	"ABCA4"	"ENSG00000198691"	"ABCA4"	"ABCA4"	"ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1|ABCA4"
"23461"	"ABCA5"	"ENSG00000154265"	"ABCA5"	"ABCA5"	"ABC13|EST90625|HTC3|ABCA5"
"23460"	"ABCA6"	"ENSG00000154262"	"ABCA6"	"ABCA6"	"EST155051|ABCA6"
"10347"	"ABCA7"	"ENSG00000064687"	"ABCA7"	"ABCA7"	"ABCA-SSN|ABCX|AD9|ABCA7"
"10351"	"ABCA8"	"ENSG00000141338"	"ABCA8"	"ABCA8"	"ABCA8"
"10350"	"ABCA9"	"ENSG00000154258"	"ABCA9"	"ABCA9"	"EST640918|ABCA9"
"104355297"	"ABCA9-AS1"	"ENSG00000231749"	"ABCA9-AS1"	"ABCA9-AS1"	"ABCA9-AS1"
"5243"	"ABCB1"	"ENSG00000085563"	"ABCB1"	"ABCB1"	"ABC20|CD243|CLCS|GP170|MDR1|P-GP|PGY1|p-170|ABCB1"
